FIELD_TYPE,NAME,Data shape,DATA_TYPE,CATDESC,VAR_TYPE,DEPENDS,DISPLAY_TYPE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTRS,UNIT_PTR,SCALE_TYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
variable,h_energy_idx,(num h energy ranges),uint32,Energy bins for H Sectored,support_data,"h_energy_low, h_energy_high",no_plot,H_Energy,F5.1,Energy,MeV,,1000,-1.00E+31,,,log,,,,,,,,,h_energy_high,h_energy_low,,,,,,,,,
variable,he4_energy_idx,(num he4 energy ranges),uint32,Energy bins for He4 Sectored,support_data,"he4_energy_low, he4_energy_high",no_plot,He4_Energy,F5.1,Energy,MeV,,1000,-1.00E+31,,,log,,,,,,,,,he4_energy_high,he4_energy_low,,,,,,,,,
variable,cno_energy_idx,(num cno energy ranges),uint32,Energy bins for CNO Sectored,support_data,"cno_energy_low, cno_energy_high",no_plot,CNO_Energy,F5.1,Energy,MeV,,1000,-1.00E+31,,,log,,,,,,,,,cno_energy_high,cno_energy_low,,,,,,,,,
variable,nemgsi_energy_idx,(num nemgsi energy ranges),uint32,Energy bins for NeMgSi Sectored,support_data,"nemgsi_energy_low, nemgsi_energy_high",no_plot,NeMgSi_Energy,F5.1,Energy,MeV,,1000,-1.00E+31,,,log,,,,,,,,,nemgsi_energy_high,nemgsi_energy_low,,,,,,,,,
variable,fe_energy_idx,(num fe energy ranges),uint32,Energy bins for Fe Sectored,support_data,"fe_energy_low, fe_energy_high",no_plot,Fe_Energy,F5.1,Energy,MeV,,1000,-1.00E+31,,,log,,,,,,,,,fe_energy_high,fe_energy_low,,,,,,,,,
variable,dynamic_threshold_state,(epoch),int64,#N/A,data,epoch,time_series,dynamic_threshold_state,D13,Counts,counts,0,10000000000,-1.00E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
variable,hydrogen,"(epoch, h_energy_idx, declination, azimuth)",float32,H flux sectored rates,data,"epoch, h_energy_idx",spectrogram,H_Flux_Sectored,g9.3,H Flux, 1/(cm^2 s MeV/nuc sr),,10000000000,-1.00E+31,,,log,,,,,,,,,DELTA_PLUS_HYDROGEN,DELTA_MINUS_HYDROGEN,,,,0.0001,1000,,,,
variable,helium4,"(epoch, he4_energy_idx, declination, azimuth)",float32,He4 flux sectored rates,data,"epoch, he4_energy_idx",spectrogram,He4_Flux_Sectored,g9.3,He4 Flux, 1/(cm^2 s MeV/nuc sr),,10000000000,-1.00E+31,,,log,,,,,,,,,DELTA_PLUS_HELIUM4,DELTA_MINUS_HELIUM4,,,,0.0001,1000,,,,
variable,CNO,"(epoch, cno_energy_idx, declination, azimuth)",float32,CNO flux sectored rates,data,"epoch, cno_energy_idx",spectrogram,CNO_Flux_Sectored,g9.3,CNO Flux, 1/(cm^2 s MeV/nuc sr),,10000000000,-1.00E+31,,,log,,,,,,,,,DELTA_PLUS_CNO,DELTA_MINUS_CNO,,,,0.0001,1000,,,,
variable,NeMgSi,"(epoch, nemgsi_energy_idx, declination, azimuth)",float32,NeMgSi flux sectored rates,data,"epoch, nemgsi_energy_idx",spectrogram,NeMgSi_Flux_Sectored,g9.3,NeMgSi Flux, 1/(cm^2 s MeV/nuc sr),,10000000000,-1.00E+31,,,log,,,,,,,,,DELTA_PLUS_NEMGSI,DELTA_MINUS_NEMGSI,,,,0.0001,1000,,,,
