NAME,DATA_TYPE,Data shape,CATDESC,VAR_TYPE,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,DISPLAY_TYPE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTRS,UNIT_PTR,SCALETYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,int64,epoch,"Time, number of nanoseconds since J2000 with leap seconds included",support_data,,,,,no_plot,epoch,,epoch,ns,1990-01-01T00:00:00.000000000,2099-12-31T00:00:00.000000000,9999-12-31T23:59:59.999999999,,,linear,,,J2000,Terrestrial Time,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,
epoch_delta,int64,epoch_delta,epoch_delta,support_data,,,,,no_plot,epoch_delta,,epoch_delta,ns,0,86000000000000,-9.22337E+18,,,linear,,,,,,,,,,,,,,,,,,,
charge,float64,"(epoch, charge)",charge,data,epoch,,,,time_series,charge,,Charge,MeV,0,200,-1.00E+31,,,linear,,,,,,,,,,,,,,,,,,,
energy,float64,"(epoch, energy)",energy,data,epoch,,,,time_series,energy,,Energy,MeV,1,10000,-1.00E+31,,,log,,,,,,,,,,,,,,0.0001,10000,,,,
energy_at_detector,float64,"(epoch, detector_id, energy_at_detector)",energy_at_detector,data,epoch,detector_id,,,no_plot,energy_at_detector,,,,1,10000,-1.00E+31,,,log,,,,,,,,,,,,,,0.0001,10000,,,,
range,int8,"(epoch, range)",range,data,epoch,,,,no_plot,range,,,,0,4,255,,,linear,,,,,,,,,,,,,,,,,,,
delta_e,float64,"(epoch, delta_e)",delta_e,data,epoch,,,,time_series,delta_e,,Delta E,MeV,1,10000,-1.00E+31,,,log,,,,,,,,,,,,,,0.0001,10000,,,,
e_prime,float64,"(epoch, e_prime)",e_prime,data,epoch,,,,time_series,e_prime,,E Prime,MeV,1,10000,-1.00E+31,,,log,,,,,,,,,,,,,,0.0001,10000,,,,
particle_id,uint8,"(epoch, particle_id)",particle_id,data,epoch,,,,no_plot,particle_id,,,,0,255,65535,,,linear,,,,,,,,,,,,,,,,,,,
priority_buffer_number,int8,"(epoch, priority_buffer_number)",priority_buffer_number,data,epoch,,,,no_plot,priority_buffer_number,,,,0,254,255,,,linear,,,,,,,,,,,,,,,,,,,
latency,int8,"(epoch, latency)",latency,data,epoch,,,,no_plot,latency,,,,0,16,255,,,linear,,,,,,,,,,,,,,,,,,,
stim_tag,int8,"(epoch, stim_tag)",stim_tag,data,epoch,,,,no_plot,stim_tag,,,,0,1,-1.28E+02,,,linear,,,,,,,,,,,,,,,,,,,
long_event_flag,int8,"(epoch, long_event_flag)",long_event_flag,data,epoch,,,,no_plot,long_event_flag,,,,0,1,-1.28E+02,,,linear,,,,,,,,,,,,,,,,,,,
haz_tag,int8,"(epoch, haz_tag)",haz_tag,data,epoch,,,,no_plot,haz_tag,,,,0,1,-1.28E+02,,,linear,,,,,,,,,,,,,,,,,,,
side,int8,"(epoch, a_b_side)",a_b_side,data,epoch,,,,no_plot,a_b_side,,,,0,1,-1.28E+02,,,linear,,,,,,,,,,,,,,,,,,,
has_unread_flag,int8,"(epoch, has_unread_flag)",has_unread_flag,data,epoch,,,,no_plot,has_unread_flag,,,,0,1,-1.28E+02,,,linear,,,,,,,,,,,,,,,,,,,
culling_flag,int8,"(epoch, culling_flag)",culling_flag,data,epoch,,,,no_plot,culling_flag,,,,0,1,-1.28E+02,,,linear,,,,,,,,,,,,,,,,,,,
pha_value,uint16,"(epoch, detector_id, pha_value)",pha_value,data,epoch,detector_id,,,no_plot,pha_value,,,,0,65534,65535,,,linear,,,,,,,,,,,,,,,,,,,
is_low_gain,int8,"(epoch, detector_id, is_low_gain)",is_low_gain,data,epoch,detector_id,,,no_plot,is_low_gain,,,,0,1,-128,,,linear,,,,,,,,,,,,,,,,,,,
detector_flags,uint16,"(epoch, detector_flags)",detector_flags,data,epoch,,,,no_plot,detector_flags,,,,0,65534,65535,,,linear,,,,,,,,,,,,,,,,,,,
deindex,uint16,"(epoch, deindex)",deindex,data,epoch,,,,no_plot,deindex,,,,0,65534,65535,,,linear,,,,,,,,,,,,,,,,,,,
epindex,uint16,"(epoch, epindex)",epindex,data,epoch,,,,no_plot,epindex,,,,0,65534,65535,,,linear,,,,,,,,,,,,,,,,,,,
stim_gain,int8,"(epoch, stim_gain)",stim_gain,data,epoch,,,,no_plot,stim_gain,,,,0,1,-128,,,linear,,,,,,,,,,,,,,,,,,,
a_l_stim,int8,"(epoch, a_l_stim)",a_l_stim,data,epoch,,,,no_plot,a_l_stim,,,,0,1,-128,,,linear,,,,,,,,,,,,,,,,,,,
stim_step,int8,"(epoch, stim_step)",stim_step,data,epoch,,,,no_plot,stim_step,,,,0,254,255,,,linear,,,,,,,,,,,,,,,,,,,
dac_value,uint16,"(epoch, dac_value)",dac_value,data,epoch,,,,no_plot,dac_value,,,,0,10000,65535,,,linear,,,,,,,,,,,,,,,,,,,
detector_id,int8,"(epoch, detector_id)",index used to support up to 64 detector addresses per event,support_data,,,,,no_plot,detector_id,,,,0,64,255,,,linear,,,,,,,,,,,,,,,,,,,
