NAME,DATA_TYPE,Data shape,CATDESC,VAR_TYPE,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,DISPLAY_TYPE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTRS,UNIT_PTR,SCALETYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,int64,epoch,"Time, number of nanoseconds since J2000 with leap seconds included",support_data,,,,,no_plot,epoch,,epoch,ns,1990-01-01T00:00:00.000000000,2099-12-31T00:00:00.000000000,9999-12-31T23:59:59.999999999,,,linear,,,J2000,Terrestrial Time,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,
epoch_delta,int64,epoch_delta,epoch_delta,support_data,,,,,no_plot,epoch_delta,,epoch_delta,ns,1990-01-01T00:00:00.000000000,2099-12-31T00:00:00.000000000,9999-12-31T23:59:59.999999999,,,linear,,,J2000,Terrestrial Time,,,,,,,,,INCREASE,,,Rotating Earth Geoid,,,
charge,float64,"(epoch, charge)",TBD by HIT team,data,epoch,,,,time_series,charge,,Charge,MeV,0,200,-1.00E+31,,,linear,,,,,,,,,,,,,,,,,,,
energy,float64,"(epoch, energy)",TBD by HIT team,data,epoch,,,,time_series,energy,,Energy,MeV,0,10000,-1.00E+31,,,log,,,,,,,,,,,,,,,,,,,
energy_at_detector,float64,"(epoch, detector_id, energy_at_detector)",TBD by HIT team,data,epoch,detector_id,,,no_plot,energy_at_detector,,,,0,10000,-1.00E+31,,,log,,,,,,,,,,,,,,,,,,,
range,uint8,"(epoch, range)",TBD by HIT team,data,epoch,,,,no_plot,range,,,,0,4,255,,,,,,,,,,,,,,,,,,,,,,
delta_e,float64,"(epoch, delta_e)",TBD by HIT team,data,epoch,,,,time_series,delta_e,,Delta E,MeV,0,10000,-1.00E+31,,,log,,,,,,,,,,,,,,,,,,,
e_prime,float64,"(epoch, e_prime)",TBD by HIT team,data,epoch,,,,time_series,e_prime,,E Prime,MeV,0,10000,-1.00E+31,,,log,,,,,,,,,,,,,,,,,,,
particle_id,uint16,"(epoch, particle_id)","TBD by HIT team, determined by onboard computer",data,epoch,,,,no_plot,particle_id,,,,0,255,"65,535",,,,,,,,,,,,,,,,,,,,,,
priority_buffer_number,uint8,"(epoch, priority_buffer_number)","TBD by HIT team, determined by onboard computer",data,epoch,,,,no_plot,priority_buffer_number,,,,0,254,255,,,,,,,,,,,,,,,,,,,,,,
latency,uint8,"(epoch, latency)","TBD by HIT team, determined by onboard computer",data,epoch,,,,no_plot,latency,,,,0,16,255,,,,,,,,,,,,,,,,,,,,,,
stim_tag,bool,"(epoch, stim_tag)","TBD by HIT team, determined by onboard computer",data,epoch,,,,no_plot,stim_tag,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,
long_event_flag,bool,"(epoch, long_event_flag)","TBD by HIT team, determined by onboard computer",data,epoch,,,,no_plot,long_event_flag,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,
haz_tag,bool,"(epoch, haz_tag)","TBD by HIT team, determined by onboard computer",data,epoch,,,,no_plot,haz_tag,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,
a_b_side,bool,"(epoch, a_b_side)","TBD by HIT team, determined by onboard computer",data,epoch,,,,no_plot,a_b_side,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,
