NAME,Data shape,DATA_TYPE,CATDESC,VAR_TYPE,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,DISPLAY_TYPE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTRS,UNIT_PTR,SCALETYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,,int64,"Time, number of nanoseconds since J2000 with leap seconds included",support_data,,,,,no_plot,epoch,,epoch,ns,1990-01-01T00:00:00.000000000,2099-12-31T00:00:00.000000000,9999-12-31T23:59:59.999999999,,,linear,,,J2000,Terrestrial Time,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,
epoch_delta,,int64,epoch_delta,support_data,,,,,no_plot,epoch_delta,,epoch_delta,ns,0,86000000000000,-9223372036854770000,,,linear,,,,,,,,,,,,,,,,,,,
h_intensity,"(epoch, h_energy, pitch_angle, gyrophase)",float32,H intensity by pitch angle and gyrophase,data,epoch,h_energy,pitch_angle,gyrophase,spectrogram,H_Intensity,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,h_intensity_delta_plus,h_intensity_delta_minus,,,,0.0001,1000,,,,
he4_intensity,"(epoch, he4_energy, pitch_angle, gyrophase)",float32,He4 intensity by pitch angle and gyrophase,data,epoch,he4_energy,pitch_angle,gyrophase,spectrogram,He4_Intensity,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,he4_intensity_delta_plus,he4_intensity_delta_minus,,,,0.0001,1000,,,,
cno_intensity,"(epoch, cno_energy, pitch_angle, gyrophase)",float32,CNO intensity by pitch angle and gyrophase,data,epoch,cno_energy,pitch_angle,gyrophase,spectrogram,CNO_Intensity,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,cno_intensity_delta_plus,cno_intensity_delta_minus,,,,0.0001,1000,,,,
nemgsi_intensity,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",float32,NeMgSi intensity by pitch angle and gyrophase,data,epoch,nemgsi_energy,pitch_angle,gyrophase,spectrogram,NeMgSi_Intensity,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,nemgsi_intensity_delta_plus,nemgsi_intensity_delta_minus,,,,0.0001,1000,,,,
fe_intensity,"(epoch, fe_energy, pitch_angle, gyrophase)",float32,Fe intensity by pitch angle and gyrophase,data,epoch,fe_energy,pitch_angle,gyrophase,spectrogram,Fe_Intensity,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,fe_intensity_delta_plus,fe_intensity_delta_minus,,,,0.0001,1000,,,,
h_intensity_pa,"(epoch, fe_energy, pitch_angle)",float32,H intensity by pitch angle,data,epoch,h_energy,pitch_angle,,spectrogram,H_Intensity_PA,g9.3,H Intensity PA,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,h_intensity_pa_delta_plus,h_intensity_pa_delta_minus,,,,0.0001,1000,,,,
he4_intensity_pa,"(epoch, fe_energy, pitch_angle)",float32,He4 intensity by pitch angle,data,epoch,he4_energy,pitch_angle,,spectrogram,He4_Intensity_PA,g9.3,He4 Intensity PA,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,he4_intensity_pa_delta_plus,he4_intensity_pa_delta_minus,,,,0.0001,1000,,,,
cno_intensity_pa,"(epoch, fe_energy, pitch_angle)",float32,CNO intensity by pitch angle,data,epoch,cno_energy,pitch_angle,,spectrogram,CNO_Intensity_PA,g9.3,CNO Intensity PA,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,cno_intensity_pa_delta_plus,cno_intensity_pa_delta_minus,,,,0.0001,1000,,,,
