NAME,DATA_TYPE,CATDESC,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,VAR_TYPE,RECORD_VARYING,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,UNIT_PTR,SCALE_TYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,CDF_TIME_TT2000,"Time, number of nanoseconds since J2000 with leap seconds included",,,,,support_data,RV,no_plot,,Epoch,,epoch,ns,2010-01-01T00:00:00.000000000,2059-12-31T23:59:58.999000000,9999-12-31T23:59:59.999999999,,,,,linear,,,J2000,TT,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,1e-9>seconds
epoch_delta,CDF_INT8,epoch_DELTA,epoch,,,,support_data,RV,no_plot,,epoch_delta,I19,,ns,0,86000000000000,-9223372036854775808,,,,,linear,,,,,,,,,,,,,,0,86000000000000,,,,1e-9>seconds
photon_flux,CDF_FLOAT,Histogram of photon flux density in scanning-circle bins,epoch,spin_angle,,,data,RV,spectrogram,"primary var, summary",Histogram of photon flux,F12.6,Flux,Rayleigh,0.0,2000.0,-1.000000E+31,,,,,linear,,,,,,,,,photon_flux_uncertainty,photon_flux_uncertainty,,,,0,1000,,,,1e10>s^-1 m^-2
photon_flux_uncertainty,CDF_FLOAT,Uncertainty of photon flux density,epoch,spin_angle,,,support_data,RV,no_plot,,Uncertainty of photon flux,F12.6,Flux Uncertainty,Rayleigh,0.0,2000.0,-1.000000e+31,,,,,linear,,,,,,,,,,,,,,,,,,,1e10>s^-1 m^-2
raw_histogram,CDF_UINT4,Raw daily counts in lightcurve bins,epoch,spin_angle,,,data,RV,spectrogram,"primary var, summary",Raw daily counts,I10,Counts,counts,0,1000000,4294967295,,,,,linear,,,,,,,,,,,,,,0,1000000,,,,
extra_heliospheric_bckgrd,CDF_FLOAT,Extra-heliospheric background estimate,epoch,spin_angle,,,data,RV,spectrogram,"primary var, summary",Extra-heliospheric background,F12.6,Extra-heliospheric background,Rayleigh,0.0,2000.0,-1.000000E+31,,,,,linear,,,,,,,,,,,,,,0,1000,,,,1e10>s^-1 m^-2
time_dependent_bckgrd,CDF_FLOAT,Time-dependent background estimate,epoch,spin_angle,,,data,RV,spectrogram,"primary var, summary",Time-dependent background,F12.6,Time-dependent background,Rayleigh,0.0,2000.0,-1.000000E+31,,,,,linear,,,,,,,,,,,,,,0,1000,,,,1e10>s^-1 m^-2
number_of_bins,CDF_UINT2,Number of histogram bins,,,,,support_data,NRV,no_plot,,Number of histogram bins,I5,Num of bins,,1,3600,65535,,,,,,,,,,,,,,,,,,,,,,,,
exposure_times,CDF_FLOAT,Exposure time in seconds for GLOWS histogram,epoch,spin_angle,,,data,RV,spectrogram,"primary var, summary",Histogram exposure time,F12.6,Duration,s,0.0,4000.0,-1.000000E+31,,,,,linear,,,,,,,,,,,,,,0,4000,,,,
spin_angle,CDF_FLOAT,Spin angle at center of bin in Degrees for GLOWS histogram,,,,,support_data,NRV,no_plot,,Histogram Spin Angle,F12.6,Spin Angle,degrees,0.0,360.0,-1.000000e+31,,,,,linear,,,,,,,,,spin_angle_delta,spin_angle_delta,,,,,,,,,1.745329e-2>radians
spin_angle_delta,CDF_FLOAT,Spin angle bin half width in Degrees for GLOWS histogram,,,,,support_data,NRV,no_plot,,Histogram Spin Angle Delta,F12.6,Spin Angle Delta,degrees,0.0,180.0,-1.000000e+31,,,,,linear,,,,,,,,,,,,,,,,,,,1.745329e-2>radians
ecliptic_lat,CDF_FLOAT,Latitude in ECLIPJ2000 at center of bin in Degrees,epoch,spin_angle,,,data,RV,spectrogram,"primary var, summary",Histogram Latitude,F12.6,Ecliptic Latitude,degrees,-90.0,90.0,-1.000000E+31,,,,,linear,,,,,,,,,,,,,,-90.0,90.0,,,,1.745329e-2>radians
ecliptic_lon,CDF_FLOAT,Longitude in ECLIPJ2000 at center of bin in Degrees,epoch,spin_angle,,,data,RV,spectrogram,"primary var, summary",Histogram Longitude,F12.6,Ecliptic Longitude,degrees,0.0,360.0,-1.000000E+31,,,,,linear,,,,,,,,,,,,,,0.0,360.0,,,,1.745329e-2>radians
filter_temperature_average,CDF_FLOAT,Observational-day-averaged filter temperature,epoch,,,,data,RV,no_plot,,filter temperature average,F12.6,filter temperature average,Celsius,-273.15,1.0,-1.000000E+31,,,,,linear,,,,,,,,,filter_temperature_std_dev,filter_temperature_std_dev,,,,,,,,,
filter_temperature_std_dev,CDF_FLOAT,standard deviation for filter temperature,epoch,,,,data,RV,no_plot,,filter temperature std dev,F12.6,filter temperature std dev,Celsius,0,1.0,-1.000000E+31,,,,,linear,,,,,,,,,,,,,,,,,,,
hv_voltage_average,CDF_FLOAT,Observational-day-averaged channeltron voltage,epoch,,,,data,RV,no_plot,,hv voltage average,F12.6,hv voltage average,V,0.0,2000.0,-1.000000E+31,,,,,linear,,,,,,,,,hv_voltage_std_dev,hv_voltage_std_dev,,,,,,,,,
hv_voltage_std_dev,CDF_FLOAT,standard deviation for channeltron voltage,epoch,,,,support_data,RV,no_plot,,hv voltage std dev,F12.6,hv voltage std dev,V,0.0,1000,-1.000000E+31,,,,,linear,,,,,,,,,,,,,,,,,,,
spin_period_average,CDF_FLOAT,Observational-day-averaged spin period,epoch,,,,data,RV,no_plot,,spin period average,F12.6,spin period average,s,0.0,20.0,-1.000000E+31,,,,,linear,,,,,,,,,spin_period_std_dev,spin_period_std_dev,,,,,,,,,
spin_period_std_dev,CDF_FLOAT,standard deviation for spin period,epoch,,,,support_data,RV,no_plot,,spin period std dev,F12.6,spin period std dev,s,0.0,1.0,-1.000000E+31,,,,,linear,,,,,,,,,,,,,,,,,,,
spin_period_ground_average,CDF_FLOAT,Observational-day-averaged spin period (ground value),epoch,,,,data,RV,no_plot,,spin period ground average,F12.6,spin period ground average,s,0.0,20.0,-1.000000E+31,,,,,linear,,,,,,,,,spin_period_ground_std_dev,spin_period_ground_std_dev,,,,,,,,,
spin_period_ground_std_dev,CDF_FLOAT,standard deviation for spin period (ground value),epoch,,,,support_data,RV,no_plot,,spin period ground std dev,F12.6,spin period ground std dev,s,0.0,1.0,-1.000000E+31,,,,,linear,,,,,,,,,,,,,,,,,,,
pulse_length_average,CDF_FLOAT,Observational-day-averaged pulse length,epoch,,,,data,RV,no_plot,,pulse length average,F12.6,pulse length average,µs,0.0,1.0,-1.000000E+31,,,,,linear,,,,,,,,,pulse_length_std_dev,pulse_length_std_dev,,,,,,,,,1.0e-6>s
pulse_length_std_dev,CDF_FLOAT,standard deviation for pulse length,epoch,,,,support_data,RV,no_plot,,pulse length std dev,F12.6,pulse length std dev,µs,0.0,1.0,-1.000000E+31,,,,,linear,,,,,,,,,,,,,,,,,,,1.0e-6>s
position_angle_offset_average,CDF_FLOAT,Observational-day-averaged GLOWS angular offset,epoch,,,,data,RV,no_plot,,position angle offset average,F12.6,position angle offset average,degrees,0.0,360,-1.000000E+31,,,,,linear,,,,,,,,,position_angle_offset_std_dev,position_angle_offset_std_dev,,,,,,,,,1.745329e-2>radians
position_angle_offset_std_dev,CDF_FLOAT,position angle offset standard deviation,epoch,,,,support_data,RV,no_plot,,position angle offset std dev,F12.6,position angle offset std dev,degrees,0.0,30.0,-1.000000E+31,,,,,linear,,,,,,,,,,,,,,,,,,,1.745329e-2>radians
lon_lat,CDF_INT1,component index for coordinate data,,,,,support_data,NRV,no_plot,,lon_lat,I1,lon_lat,,0,1,-128,,,,,linear,,,,,,,,,,,,,,,,,,,
lon_lat_labels,CDF_CHAR,label names for coordinate data,,,,,metadata,NRV,no_plot,,lon_lat_labels,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spin_axis_orientation_average,CDF_FLOAT,Observational-day-averaged spin-axis ecliptic longitude and latitude,epoch,lon_lat,,,data,RV,time_series,"primary var, summary",spin axis orientation average,F12.6,,degrees,-90.0,360.0,-1.00E+31,lon_lat_labels,,,,linear,,,,,,,,,spin_axis_orientation_std_dev,spin_axis_orientation_std_dev,,,,,,,,,1.745329e-2>radians
