NAME,DATA_TYPE,CATDESC,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,VAR_TYPE,RECORD_VARYING,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,UNIT_PTR,SCALE_TYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,CDF_TIME_TT2000,"Time, number of nanoseconds since J2000 with leap seconds included for center of CR",,,,,support_data,RV,,,Epoch,,Epoch,ns,2010-01-01T00:00:00.000000000,2059-12-31T23:59:58.999000000,9999-12-31T23:59:59.999999999,,,,,linear,,,J2000,TT,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,1e-9>seconds
epoch_delta,CDF_INT8,Time bin of half a carrington rotation,,,,,support_data,RV,,,Epoch delta,,Epoch delta,ns,,,,,,,,,,,,,,,,,,,,,,,,,,,
cr,CDF_FLOAT,Carrington rotation number,,,,,support_data,RV,,,Carrington rotation,I14,Carrington rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uv_anisotropy_factor,CDF_FLOAT,UV anisotropy factor,epoch,,,,data,RV,,,UV anisotropy factor,F9.3,UV anisotropy factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lat_grid,CDF_FLOAT,latitudinal grid from -90 to 90,,,,,support_data,NRV,,,Lat grid,F9.3,Lat grid,degrees,-90,90,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
lat_grid_delta,CDF_FLOAT,latitudinal grid delta,,,,,support_data,NRV,,,Lat grid delta,F9.3,Lat grid delta,degrees,,,-1.00E+31,,,,,,,,,,,,,,lat_grid_delta,lat_grid_delta,,,,,,,,,
sum_rate,CDF_FLOAT,averaged ionization rate profile obtained from lightcurve,epoch,lat_grid,,,data,RV,spectrogram,"primary var, summary",Sum rate,F9.3,Sum rate,s^-1,0,,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
ph_rate,CDF_FLOAT,averaged photoionization rate profile,epoch,lat_grid,,,data,RV,spectrogram,"primary var, summary",Photoionization rate,F9.3,Photoionization rate,s^-1,0,,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
cx_rate,CDF_FLOAT,averaged charge exchange rate profile (stationary atom approximation),epoch,lat_grid,,,data,RV,spectrogram,"primary var, summary",Charge exchange rate,F9.3,Charge exchange rate,s^-1,0,,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
sum_uncert,CDF_FLOAT,averaged ionization rate profile uncertainty,epoch,lat_grid,,,data,RV,spectrogram,"primary var, summary",Sum rate uncertainty,F9.3,Sum rate uncertainty,s^-1,0,,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
ph_uncert,CDF_FLOAT,averaged photoionization rate profile uncertainty,epoch,lat_grid,,,data,RV,spectrogram,"primary var, summary",Photoionization rate uncertainty,F9.3,Photoionization rate uncertainty,s^-1,0,,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
cx_uncert,CDF_FLOAT,averaged charge exchange rate profile uncertainty,epoch,lat_grid,,,data,RV,spectrogram,"primary var, summary",Charge exchange rate uncertainty,F9.3,Charge exchange rate uncertainty,s^-1,0,,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
lat_grid_label,CDF_CHAR,Label for lat grid,,,,,metadata,,,,lat grid label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
