NAME,DATA_TYPE,CATDESC,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,VAR_TYPE,RECORD_VARYING,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,UNIT_PTR,SCALE_TYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,CDF_TIME_TT2000,"Time, number of nanoseconds since J2000 with leap seconds included for center of CR",,,,,support_data,RV,no_plot,,Epoch,,Epoch,ns,2010-01-01T00:00:00.000000000,2059-12-31T23:59:58.999000000,9999-12-31T23:59:59.999999999,,,,,linear,,,J2000,TT,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,1e-9>seconds
epoch_delta,CDF_INT8,Time bin of half a carrington rotation,epoch,,,,support_data,RV,no_plot,,Epoch delta,I19,Epoch delta,ns,0,2592000000000000,-9223372036854775808,,,,,linear,,,,,,,,,,,,,,,,,,,
cr,CDF_INT2,Carrington rotation number,epoch,,,,support_data,RV,no_plot,,Carrington rotation,I14,Carrington rotation,,2000,3000,-32768,,,,,linear,,,,,,,,,,,,,,,,,,,
plasma_speed_ecliptic,CDF_FLOAT,Averaged solar wind plasma speed in the ecliptic plane,epoch,,,,data,RV,time_series,"primary var, summary",Plasma speed,F9.3,Speed,km/s,0,10000.0,-1.00E+31,,,,,linear,,,,,,,,,,,,,,0,1000.0,,,,1e3>m/s
lat_grid,CDF_FLOAT,latitudinal grid from -90 to 90,,,,,support_data,NRV,no_plot,,Lat grid,F9.3,Lat grid,degrees,-90,90,-1.00E+31,lat_grid_label,,,,linear,,,,,,,,,,,,,,,,,,,
lat_grid_delta,CDF_FLOAT,latitudinal grid delta,,,,,support_data,NRV,no_plot,,Lat grid delta,F9.3,Lat grid delta,degrees,0,90,-1.00E+31,,,,,linear,,,,,,,,,lat_grid_delta,lat_grid_delta,,,,,,,,,
lat_grid_label,CDF_CHAR,Label for lat grid,,,,,metadata,NRV,no_plot,,lat grid label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proton_density_ecliptic,CDF_FLOAT,Averaged proton density in the ecliptic plane adjusted to 1 au,epoch,,,,data,RV,time_series,"primary var, summary",Proton density,F12.3,Density,cm^-3,0,1.0e+6,-1.00E+31,,,,,linear,,,,,,,,,,,,,,0,10.0,,,,1e6>m^-3
alpha_abundance_ecliptic,CDF_FLOAT,Averaged alpha-particles to protons ratio in the ecliptic plane,epoch,,,,data,RV,time_series,"primary var, summary",Alpha abundance,F9.3,Abundance,,0,1.0,-1.00E+31,,,,,linear,,,,,,,,,,,,,,0,0.02,,,,
plasma_speed_profile,CDF_FLOAT,Averaged profile of solar wind plasma speed,epoch,lat_grid,,,data,RV,spectrogram,"primary var, summary",Plasma speed,F9.3,Speed,km/s,0,10000.0,-1.00E+31,lat_grid_label,,,,linear,,,,,,,,,,,,,,0,1000.0,,,,1e3>m/s
proton_density_profile,CDF_FLOAT,Averaged profile of proton density adjusted to 1 au,epoch,lat_grid,,,data,RV,spectrogram,"primary var, summary",Proton density,F12.3,Density,cm^-3,0,1.0e+6,-1.00E+31,lat_grid_label,,,,linear,,,,,,,,,,,,,,0,10.0,,,,1e6>m^-3
