NAME,DATA_TYPE,CATDESC,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,VAR_TYPE,RECORD_VARYING,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,UNIT_PTR,SCALE_TYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,CDF_TIME_TT2000,epoch,,,,,support_data,rv,,,Epoch,,Epoch,ns,2010-01-01T00:00:00.000000000,2059-12-31T23:59:58.999000000,9999-12-31T23:59:59.999999999,,,,,,,,J2000,TT,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,1e-9>seconds
energy,CDF_REAL4,energy,,,,,support_data,nrv,,,Energy,F6.2,Energy,keV,0,100.0,-1.00E+31,,,,,,,,,,,,,,energy_deltas,energy_deltas,,,,,,,,,
energy_deltas,CDF_REAL4,energy_deltas,,,,,support_data,nrv,,,Energy deltas,F6.2,Energy deltas,,0,100.0,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
counts,CDF_INT8,counts,epoch,energy,lon,lat,data,rv,map_image,"PRIMARY_VAR,SUMMARY",Counts,I14,,,0,1000000000,-9223372036854775808,energy_label,lon_label,lat_label,,,,,,,,,,,counts_uncertainty,counts_uncertainty,,,,,,,,,
counts_uncertainty,CDF_REAL4,counts_uncertainty,epoch,energy,lon,lat,support_data,rv,,,Counts uncertainty,F12.1,,,0,1.00E+9,-1.00E+31,energy_label,lon_label,lat_label,,,,,,,,,,,,,,,,,,,,,
epoch_delta,CDF_INT8,epoch_delta,epoch,,,,support_data,rv,,,Epoch delta,I19,Epoch delta,,0,31536000000000000,-9223372036854775808,,,,,,,,,,,,,,,,,,,,,,,,
exposure,CDF_REAL4,exposure,epoch,energy,lon,,data,rv,map_image,"PRIMARY_VAR,SUMMARY",Exposure,F12.1,,s,0,1.00E+9,-1.00E+31,energy_label,lon_label,,,,,,,,,,,,,,,,,,,,,,
flux,CDF_REAL4,flux,epoch,energy,lon,lat,data,rv,map_image,"PRIMARY_VAR,SUMMARY",Flux,F12.1,,cm -2 s -1 sr -1 keV -1,0,1.00E+9,-1.00E+31,energy_label,lon_label,lat_label,,,,,,,,,,,,,,,,,,,,,
lat,CDF_REAL4,lat,,,,,support_data,nrv,,,Latitude,F6.1,Latitude,degrees,-90.0,90.0,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
lon,CDF_REAL4,lon,,,,,support_data,nrv,,,Longitude,F6.1,Longitude,degrees,0.0,360.0,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
sensitivity,CDF_REAL4,sensitivity,epoch,energy,lon,lat,data,rv,map_image,"PRIMARY_VAR,SUMMARY",Sensitivity,F12.1,,,0,1.00E+9,-1.00E+31,energy_label,lon_label,lat_label,,,,,,,,,,,,,,,,,,,,,
variance,CDF_REAL4,variance,epoch,energy,lon,lat,data,rv,map_image,"PRIMARY_VAR,SUMMARY",Variance,F12.1,,,0,1.00E+9,-1.00E+31,energy_label,lon_label,lat_label,,,,,,,,,,,,,,,,,,,,,
energy_label,CDF_CHAR,energy_label,,,,,metadata,nrv,,,Energy label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon_label,CDF_CHAR,lon_label,,,,,metadata,nrv,,,Longitude label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lat_label,CDF_CHAR,lat_label,,,,,metadata,nrv,,,Latitude label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
