NAME,DATA_TYPE,CATDESC,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,VAR_TYPE,RECORD_VARYING,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,UNIT_PTR,SCALE_TYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,CDF_TIME_TT2000,"Time, number of nanoseconds since J2000 with leap seconds included",,,,,support_data,rv,,,J2000 Nanoseconds,,epoch,ns,2010-01-01T00:00:00.000000000,2059-12-31T23:59:58.999000000,9999-12-31T23:59:59.999999999,,,,,linear,,,J2000,TT,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,1e-9>seconds
epoch_delta,CDF_INT8,epoch_delta,epoch,,,,support_data,rv,,,Epoch delta,I19,Epoch delta,ns,0,31536000000000000,-9223372036854775808,,,,,,,,,,,,,,,,,,,,,,,,
energy,CDF_REAL4,energy,,,,,support_data,nrv,,,Energy,F6.2,Energy,keV,0.0,100.0,-1.00E+31,,,,,linear,,,,,,,,,energy_delta_plus,energy_delta_minus,,,INCREASE,,,,,,
energy_label,CDF_CHAR,Label variable for energy coordinate,,energy,,,metadata,nrv,,,Energy label,A16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy_delta_minus,CDF_REAL4,Lower bound of energy range,,energy,,,support_data,nrv,,,Energy delta minus,F6.2,Energy delta minus,keV,0.0,100.0,-1.00E+31,,,,,linear,,,,,,,,,,,,,,,,,,,
energy_delta_plus,CDF_REAL4,Upper bound of energy range,,energy,,,support_data,nrv,,,Energy delta plus,F6.2,Energy delta plus,keV,0.0,100.0,-1.00E+31,,,,,linear,,,,,,,,,,,,,,,,,,,
latitude,CDF_REAL4,Pixel center latitude,,,,,support_data,nrv,,,HAE Latitude,F6.1,Latitude,deg,-90.0,90.0,-1.00E+31,,,,,linear,,,,,,,,,latitude_delta,latitude_delta,,,INCREASE,,,,,,
latitude_label,CDF_CHAR,Label variable for latitude coordinate,,latitude,,,metadata,nrv,,,Latitude label,A16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude_delta,CDF_REAL4,Half-width of latitude pixel,,latitude,,,support_data,nrv,,,Latitude delta,F12.1,Latitude delta,deg,0.0,90.0,-1.00E+31,,,,,linear,,,,,,,,,,,,,,,,,,,
longitude,CDF_REAL4,Pixel center longitude,,,,,support_data,nrv,,,HAE Longitude,F6.1,Longitude,deg,0.0,360.0,-1.00E+31,,,,,linear,,,,,,,,,longitude_delta,longitude_delta,,,INCREASE,,,,,,
longitude_label,CDF_CHAR,Label variable for longitude coordinate,,longitude,,,metadata,nrv,,,Longitude label,A16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longitude_delta,CDF_REAL4,Half-width of longitude pixel,,longitude,,,support_data,nrv,,,Longitude delta,F12.1,Longitude delta,deg,0,180.0,-1.00E+31,,,,,linear,,,,,,,,,,,,,,,,,,,
exposure_factor,CDF_REAL4,Exact or approximate exposure time over which counts in a pixel are accumulated.  Used as a weighting factor for combining data quantities sensibly.,epoch,energy,longitude,latitude,data,rv,no_plot,,Exposure Times,F12.1,Exposure,s,0.0,1.00E+9,-1.00E+31,energy_label,longitude_label,latitude_label,,linear,,,,,,,,,,,,,,,,,,,
obs_date,CDF_TIME_TT2000,Mean collection date of data in a pixel,epoch,energy,longitude,latitude,data,rv,image,,J2000 Nanoseconds,,epoch,ns,2010-01-01T00:00:00.000000000,2059-12-31T23:59:58.999000000,9999-12-31T23:59:59.999999999,energy_label,longitude_label,latitude_label,,linear,,,,,,,,,,,,,,,,,,,
obs_date_range,CDF_INT8,Standard deviation of the observation date,epoch,energy,longitude,latitude,data,rv,image,,J2000 Nanoseconds,I19,epoch,ns,0,31536000000000000,-9223372036854775808,energy_label,longitude_label,latitude_label,,linear,,,,,,,,,,,,,,,,,,,
solid_angle,CDF_REAL4,Solid angle of subtended by each pixel,,longitude,latitude,,data,nrv,image,,Solid Angle,F6.2,Solid Angle,sr,0.0,12.56637061,-1.00E+31,longitude_label,latitude_label,,,linear,,,,,,,,,,,,,,,,,,,
ena_spectral_index,CDF_REAL4,ENA spectral index.,epoch,longitude,latitude,,data,RV,image,"PRIMARY_VAR,SUMMARY",spectral_fit_index,F12.6,Index,,0.0,100,-1.00E+31,longitude_label,latitude_label,,,linear,,,,,,,,,ena_spectral_index_stat_unc,ena_spectral_index_stat_unc,,,,,,,,,
ena_spectral_index_stat_unc,CDF_REAL4,ENA spectral index statistical uncertainty.,epoch,longitude,latitude,,data,RV,no_plot,,spectral_fit_index_error,F12.6,Index Error,,0.0,100,-1.00E+31,longitude_label,latitude_label,,,linear,,,,,,,,,,,,,,,,,,,
ena_spectral_index_sys_err,CDF_REAL4,ENA spectral index systematic error.,epoch,longitude,latitude,,data,RV,no_plot,,spectral_fit_index_error,F12.6,Index Error,,0.0,100,-1.00E+31,longitude_label,latitude_label,,,linear,,,,,,,,,,,,,,,,,,,
