NAME,DATA_TYPE,CATDESC,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,VAR_TYPE,RECORD_VARYING,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,UNIT_PTR,SCALE_TYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,CDF_TIME_TT2000,Time since J2000 ,,,,,support_data,RV,,,Epoch,,epoch,ns,2010-01-01T00:00:00.000000000,2059-12-31T23:59:58.999000000,9999-12-31T23:59:59.999999999,,,,,linear,,,J2000,TT,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,1e-9>seconds
energy,CDF_REAL4,Bin Center Energy,,,,,support_data,NRV,,,Energy,F9.3,Energy,eV,1,10000,-1.00E+31,,,,,log,,,,,,,,,energy_delta_plus,energy_delta_minus,,,,1,10000,,,,1.602176634e-19>joules
pitch_angle,CDF_REAL4,Pitch Angle,,,,,support_data,NRV,,,Pitch Angle,F9.3,Pitch Angle,degrees,0,180,-1.00E+31,,,,,linear,,,,,,,,,pitch_angle_delta,pitch_angle_delta,,,,0,180,,,,1.745329e-2>radians
gyrophase,CDF_REAL4,Gyrophase,,,,,support_data,NRV,,,Gyrophase,F9.3,Gyrophase,degrees,0,360,-1.00E+31,,,,,linear,,,,,,,,,gyrophase_delta,gyrophase_delta,,,,0,360,,,,1.745329e-2>radians
epoch_delta,CDF_INT8,Time bin half-width in nanoseconds,epoch,,,,support_data,RV,,,,I14,Time Delta,ns,0,600000000000,-9223372036854775808,,,,,linear,,,,,,,,,,,,,,,,,,,1e-9>seconds
energy_delta_plus,CDF_REAL4,Energy bin half-width to max energy,,,,,support_data,NRV,,,Energy,F9.3,Energy Delta Plus,eV,0,10000,-1.00E+31,,,,,log,,,,,,,,,,,,,,,,,,,1.602176634e-19>joules
energy_delta_minus,CDF_REAL4,Energy bin half-width to min energy,,,,,support_data,NRV,,,Energy,F9.3,Energy Delta Minus,eV,0,10000,-1.00E+31,,,,,log,,,,,,,,,,,,,,,,,,,1.602176634e-19>joules
pitch_angle_delta,CDF_REAL4,Pitch Angle bin half-width,,,,,support_data,NRV,,,Pitch Angle,F9.3,Pitch Angle Delta,degrees,0,180,-1.00E+31,,,,,linear,,,,,,,,,,,,,,,,,,,1.745329e-2>radians
gyrophase_delta,CDF_REAL4,Gyrophase bin half-width,,,,,support_data,NRV,,,Gyrophase,F9.3,Gyrophase Delta,degrees,0,360,-1.00E+31,,,,,linear,,,,,,,,,,,,,,,,,,,1.745329e-2>radians
temperature_tensor_component,CDF_INT1,"Temperature tensor component index, 6 values",,,,,support_data,RV,,,Tensor component index,I1,Temperature Tensor Component,,0,9,-1.00E+31,,,,,linear,,,,,,,,,,,,,,,,,,,
intensity_by_pitch_angle,CDF_REAL4,Intensity by pitch angle,epoch,energy,pitch_angle,,data,RV,spectrogram,"PRIMARY_VAR,SUMMARY",Electron Intensity,F15.3,e- intensity,cm^-2 sr^-1 s^-1 eV^-1,0,10000000000,-1.00E+31,energy_label,pitch_angle_label,,,linear,,,,,,,,,intensity_uncertainty_by_pitch_angle,intensity_uncertainty_by_pitch_angle,,,,,,,,,
