NAME,DATA_TYPE,CATDESC,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,VAR_TYPE,RECORD_VARYING,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,UNIT_PTR,SCALETYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,CDF_TIME_TT2000,"Time, number of nanoseconds since J2000 with leap seconds included",,,,,support_data,rv,,,J2000 Nanoseconds,,epoch,ns,2010-01-01T00:00:00.000000000,2059-12-31T23:59:58.999000000,9999-12-31T23:59:59.999999999,,,,,linear,,,J2000,TT,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,1e-9>seconds
epoch_delta,CDF_INT8,epoch_delta,epoch,,,,support_data,rv,,,Epoch delta,I19,Epoch delta,ns,0,31536000000000000,-9223372036854775808,,,,,,,,,,,,,,,,,,,,,,,,
energy,CDF_REAL4,energy,,,,,support_data,nrv,,,Energy,F6.2,Energy,keV,0.0,400.0,-1.00E+31,,,,,linear,,,,,,,,,energy_delta_plus,energy_delta_minus,,,INCREASE,,,,,,
energy_label,CDF_CHAR,Label variable for energy coordinate,,energy,,,metadata,nrv,,,Energy label,A16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy_delta_minus,CDF_REAL4,Lower bound of energy range,,energy,,,support_data,nrv,,,Energy delta minus,F6.2,Energy delta minus,keV,0.0,100.0,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
energy_delta_plus,CDF_REAL4,Upper bound of energy range,,energy,,,support_data,nrv,,,Energy delta plus,F6.2,Energy delta plus,keV,0.0,100.0,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
pixel_index,CDF_INT8,Index of HEALPix array,,,,,support_data,nrv,,,HEALPix index,I8,HEALPix index,,0,12582912,-9223372036854775808,pixel_index_label,,,,,,,,,,,,,,,,,INCREASE,,,,,,
pixel_index_label,CDF_CHAR,Label variable for HEALPix index,,pixel_index,,,metadata,nrv,,,Label variable for HEALPix index,A16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,CDF_REAL4,Pixel center latitude,,,,,support_data,nrv,,,HAE Latitude,F6.1,Latitude,deg,-90.0,90.0,-1.00E+31,,,,,linear,,,,,,,,,,,,,INCREASE,,,,,,
longitude,CDF_REAL4,Pixel center longitude,,,,,support_data,nrv,,,HAE Longitude,F6.1,Longitude,deg,0.0,360.0,-1.00E+31,,,,,linear,,,,,,,,,,,,,INCREASE,,,,,,
ena_intensity,CDF_REAL4,Survival Probability Corrected ENA intensity.,epoch,energy,pixel_index,,data,rv,image,"PRIMARY_VAR,SUMMARY",Intensity,F12.1,Intensity,cm -2 s -1 sr -1 keV -1,0.0,1.00E+9,-1.00E+31,energy_label,pixel_index_label,,,linear,,,,,,,,,,,,,,,,,,,
ena_intensity_stat_unc,CDF_REAL4,ENA intensity statistical uncertainty.,epoch,energy,pixel_index,,support_data,rv,,,Intensity Uncertainty,F12.1,Uncertainty,cm -2 s -1 sr -1 keV -1,0.0,1.00E+9,-1.00E+31,energy_label,pixel_index_label,,,linear,,,,,,,,,,,,,,,,,,,
ena_intensity_sys_err,CDF_REAL4,ENA intensity systematic uncertainty.,epoch,energy,pixel_index,,support_data,rv,,,Intensity Uncertainty,F12.1,Uncertainty,cm -2 s -1 sr -1 keV -1,0.0,1.00E+9,-1.00E+31,energy_label,pixel_index_label,,,linear,,,,,,,,,,,,,,,,,,,
exposure_factor,CDF_REAL4,Exact or approximate exposure time over which counts in a pixel are accumulated.  Used as a weighting factor for combining data quantities sensibly.,epoch,energy,pixel_index,,data,rv,no_plot,,Exposure Times,F12.1,Exposure,s,0.0,1.00E+9,-1.00E+31,energy_label,pixel_index_label,,,linear,,,,,,,,,,,,,,,,,,,
obs_date,CDF_TIME_TT2000,Mean collection date of data in a pixel,epoch,energy,pixel_index,,data,rv,image,,J2000 Nanoseconds,,epoch,ns,2010-01-01T00:00:00.000000000,2059-12-31T23:59:58.999000000,9999-12-31T23:59:59.999999999,energy_label,pixel_index_label,,,linear,,,,,,,,,,,,,,,,,,,
obs_date_range,CDF_INT8,Standard deviation of the observation date,epoch,energy,pixel_index,,data,rv,image,,J2000 Nanoseconds,I19,epoch,ns,0,31536000000000000,-9223372036854775808,energy_label,pixel_index_label,,,linear,,,,,,,,,,,,,,,,,,,
solid_angle,CDF_REAL4,Solid angle of subtended by each pixel,,pixel_index,,,data,nrv,image,,Solid Angle,F6.2,Solid Angle,sr,0.0,12.56637061,-1.00E+31,pixel_index_label,,,,linear,,,,,,,,,,,,,,,,,,,
